candidate_id,rank,score,reasoning
CAND_0033861,26,0.8703,"Senior NLP Engineer with 8.0 yrs exp at Mad Street Den; top skills: Milvus, LlamaIndex, LLMs; low recruiter response rate (16%); notice period 30d (within buyout window)."
CAND_0027691,27,0.8680,"NLP Engineer with 6.5 yrs exp at Haptik; top skills: Recommendation Systems, QLoRA, Weaviate; marked open to work; strong recruiter response rate (68%); notice period 15d (within buyout window)."
CAND_0037566,28,0.8670,"Machine Learning Engineer with 6.9 yrs exp at LinkedIn; top skills: Elasticsearch, LLMs, Pinecone; marked open to work; notice period 15d (within buyout window)."
CAND_0050876,29,0.8663,"Applied ML Engineer with 6.0 yrs exp at Freshworks; top skills: Sentence Transformers, Prompt Engineering, QLoRA; marked open to work; strong recruiter response rate (67%); notice period 90d (concern: above buyout threshold)."
CAND_0064326,30,0.8659,"Search Engineer with 7.6 yrs exp at Sarvam AI; top skills: Deep Learning, RAG, Weaviate; marked open to work; strong recruiter response rate (94%)."
CAND_0060072,31,0.8655,"Staff Machine Learning Engineer with 5.7 yrs exp at Amazon; top skills: Machine Learning, Embeddings, Sentence Transformers; low recruiter response rate (10%); notice period 90d (concern: above buyout threshold)."
CAND_0008425,32,0.8652,"Senior NLP Engineer with 7.8 yrs exp at Ola; top skills: Information Retrieval, Sentence Transformers, Recommendation Systems; marked open to work; strong recruiter response rate (66%); notice period 90d (concern: above buyout threshold)."
CAND_0075574,33,0.8636,"Machine Learning Engineer with 5.7 yrs exp at Haptik; top skills: PyTorch, Weaviate, pgvector; marked open to work; strong recruiter response rate (58%)."
CAND_0068811,34,0.8616,"Applied ML Engineer with 8.0 yrs exp at Freshworks; top skills: Pinecone, Haystack, OpenSearch; marked open to work; notice period 30d (within buyout window)."
CAND_0044222,35,0.8607,"AI Engineer with 7.7 yrs exp at PolicyBazaar; top skills: Deep Learning, OpenSearch, Hugging Face Transformers; marked open to work; strong recruiter response rate (60%)."
CAND_0070202,36,0.8582,"Machine Learning Engineer with 5.1 yrs exp at BYJU'S; top skills: BM25, RAG, LoRA; strong recruiter response rate (60%); notice period 90d (concern: above buyout threshold)."
CAND_0020877,37,0.8577,"Applied ML Engineer with 5.1 yrs exp at CRED; top skills: Information Retrieval, QLoRA, LlamaIndex; strong recruiter response rate (66%)."
CAND_0028793,38,0.8577,"Search Engineer with 7.2 yrs exp at Google; top skills: LoRA, QLoRA, Embeddings; marked open to work; strong recruiter response rate (57%); notice period 120d (concern: above buyout threshold)."
CAND_0096142,39,0.8554,"Applied ML Engineer with 5.0 yrs exp at upGrad; top skills: NLP, Python, Hugging Face Transformers; marked open to work; strong recruiter response rate (84%); notice period 120d (concern: above buyout threshold)."
CAND_0054123,40,0.8548,"Applied ML Engineer with 4.7 yrs exp at Meta; top skills: Weaviate, Fine-tuning LLMs, LangChain; strong recruiter response rate (87%)."
CAND_0011687,41,0.8547,"Senior NLP Engineer with 7.8 yrs exp at Niramai; top skills: LangChain, Embeddings, LlamaIndex; marked open to work; strong recruiter response rate (89%); notice period 15d (within buyout window)."
CAND_0051292,42,0.8514,"Applied ML Engineer with 5.2 yrs exp at Freshworks; top skills: RAG, Fine-tuning LLMs, pgvector; marked open to work; strong recruiter response rate (52%); notice period 30d (within buyout window)."
CAND_0032807,43,0.8492,"Machine Learning Engineer with 4.2 yrs exp at CRED; top skills: OpenSearch, Fine-tuning LLMs, LoRA; marked open to work; strong recruiter response rate (51%); notice period 90d (concern: above buyout threshold)."
CAND_0070398,44,0.8485,"Machine Learning Engineer with 7.2 yrs exp at Genpact AI; top skills: BM25, FAISS, RAG; marked open to work; strong recruiter response rate (60%); notice period 120d (concern: above buyout threshold)."
CAND_0064904,45,0.8484,"AI Engineer with 4.9 yrs exp at LinkedIn; top skills: Embeddings, Python, Prompt Engineering; marked open to work; strong recruiter response rate (78%); notice period 90d (concern: above buyout threshold)."
CAND_0005260,46,0.8466,"Senior NLP Engineer with 5.2 yrs exp at Netflix; top skills: NLP, Semantic Search, Python; strong recruiter response rate (86%)."
CAND_0075249,47,0.8462,"Applied ML Engineer with 6.2 yrs exp at Zomato; top skills: Haystack, Machine Learning, Pinecone; marked open to work; strong recruiter response rate (82%)."
CAND_0037944,48,0.8447,"Senior Data Scientist with 4.9 yrs exp at Vedantu; top skills: LlamaIndex, Machine Learning, Embeddings; marked open to work; notice period 30d (within buyout window)."
CAND_0075439,49,0.8412,"Machine Learning Engineer with 4.3 yrs exp at Flipkart; top skills: Vector Search, Learning to Rank, Elasticsearch; strong recruiter response rate (56%); notice period 30d (within buyout window)."
CAND_0092278,50,0.8406,"Senior NLP Engineer with 6.8 yrs exp at Microsoft; top skills: QLoRA, NLP, Milvus; low recruiter response rate (7%); notice period 90d (concern: above buyout threshold)."
CAND_0055992,51,0.8389,"AI Engineer with 16.9 yrs exp at CRED; top skills: Deep Learning, Information Retrieval, Fine-tuning LLMs; marked open to work; strong recruiter response rate (72%)."
CAND_0079387,52,0.8382,"AI Engineer with 6.9 yrs exp at Microsoft; top skills: Haystack, scikit-learn, Sentence Transformers; marked open to work; strong recruiter response rate (81%); notice period 30d (within buyout window)."
CAND_0091909,53,0.8380,"Machine Learning Engineer with 6.9 yrs exp at Rephrase.ai; top skills: OpenSearch, Sentence Transformers, Pinecone; marked open to work; strong recruiter response rate (65%)."
CAND_0096172,54,0.8375,"NLP Engineer with 5.2 yrs exp at Krutrim; top skills: RAG, Elasticsearch, OpenSearch."
CAND_0052682,55,0.8367,"NLP Engineer with 6.6 yrs exp at Aganitha; top skills: Python, QLoRA, Embeddings; marked open to work; strong recruiter response rate (88%); notice period 30d (within buyout window)."
CAND_0083307,56,0.8366,"Search Engineer with 7.8 yrs exp at CRED; top skills: Weaviate, Python, PEFT; marked open to work; strong recruiter response rate (70%); notice period 120d (concern: above buyout threshold)."
CAND_0030827,57,0.8354,"Senior Data Scientist with 5.4 yrs exp at Freshworks; top skills: LangChain, Qdrant, Learning to Rank; marked open to work; strong recruiter response rate (52%); notice period 120d (concern: above buyout threshold)."
CAND_0041669,58,0.8351,"Recommendation Systems Engineer with 8.0 yrs exp at CRED; top skills: PEFT, Milvus, Semantic Search; marked open to work; strong recruiter response rate (77%)."
CAND_0009024,59,0.8345,"Search Engineer with 5.2 yrs exp at Google; top skills: PEFT, OpenSearch, Recommendation Systems; marked open to work; notice period 30d (within buyout window)."
CAND_0042029,60,0.8340,"Senior Data Scientist with 6.5 yrs exp at Flipkart; top skills: Deep Learning, NLP, PyTorch; strong recruiter response rate (67%)."
CAND_0029367,61,0.8330,"Senior Data Scientist with 5.7 yrs exp at Rephrase.ai; top skills: Recommendation Systems, LangChain, Sentence Transformers; marked open to work; strong recruiter response rate (77%); notice period 90d (concern: above buyout threshold)."
CAND_0099806,62,0.8328,"AI Engineer with 4.6 yrs exp at Mad Street Den; top skills: Qdrant, Prompt Engineering, FAISS; marked open to work; strong recruiter response rate (76%); notice period 30d (within buyout window)."
CAND_0041611,63,0.8316,"Staff Machine Learning Engineer with 6.4 yrs exp at Locobuzz; top skills: OpenSearch, LangChain, PyTorch; low recruiter response rate (7%); notice period 30d (within buyout window)."
CAND_0006557,64,0.8305,"NLP Engineer with 7.9 yrs exp at Paytm; top skills: Qdrant, OpenSearch, FAISS; marked open to work; strong recruiter response rate (63%); notice period 120d (concern: above buyout threshold)."
CAND_0037000,65,0.8295,"Search Engineer with 2.7 yrs exp at Unacademy; top skills: FAISS, LangChain, BM25; strong recruiter response rate (61%); notice period 15d (within buyout window)."
CAND_0041568,66,0.8292,"Search Engineer with 5.2 yrs exp at Haptik; top skills: Semantic Search, Weaviate, Qdrant; marked open to work; strong recruiter response rate (52%); notice period 90d (concern: above buyout threshold)."
CAND_0051004,67,0.8280,"Senior Data Scientist with 4.7 yrs exp at CRED; top skills: Prompt Engineering, Haystack, Qdrant; marked open to work; notice period 15d (within buyout window)."
CAND_0043228,68,0.8278,"Applied ML Engineer with 6.8 yrs exp at Zoho; top skills: Sentence Transformers, Hugging Face Transformers, OpenSearch; notice period 30d (within buyout window)."
CAND_0074225,69,0.8260,"Machine Learning Engineer with 4.3 yrs exp at Unacademy; top skills: Machine Learning, Python, Milvus; marked open to work; strong recruiter response rate (91%); notice period 120d (concern: above buyout threshold)."
CAND_0049538,70,0.8245,"Applied ML Engineer with 5.8 yrs exp at Saarthi.ai; top skills: Elasticsearch, Milvus, LLMs; strong recruiter response rate (72%); notice period 30d (within buyout window)."
CAND_0001610,71,0.8235,"Machine Learning Engineer with 3.0 yrs exp at Dream11; top skills: scikit-learn, PyTorch, FAISS; marked open to work; strong recruiter response rate (57%); notice period 90d (concern: above buyout threshold)."
CAND_0069905,72,0.8232,"Applied ML Engineer with 6.6 yrs exp at Sarvam AI; top skills: Python, Sentence Transformers, LoRA; marked open to work; strong recruiter response rate (78%); notice period 90d (concern: above buyout threshold)."
CAND_0006418,73,0.8205,"Machine Learning Engineer with 5.7 yrs exp at Verloop.io; top skills: OpenSearch, Qdrant, Embeddings; marked open to work; strong recruiter response rate (92%)."
CAND_0036184,74,0.8190,"Recommendation Systems Engineer with 6.0 yrs exp at CRED; top skills: Semantic Search, Hugging Face Transformers, QLoRA; marked open to work; strong recruiter response rate (90%); notice period 30d (within buyout window)."
CAND_0076163,75,0.8172,"NLP Engineer with 6.9 yrs exp at Ola; top skills: Semantic Search, Elasticsearch, LangChain; marked open to work; strong recruiter response rate (84%)."
CAND_0042100,76,0.8162,"Machine Learning Engineer with 7.3 yrs exp at Freshworks; top skills: QLoRA, LLMs, Learning to Rank; marked open to work; strong recruiter response rate (87%); notice period 90d (concern: above buyout threshold)."
CAND_0076904,77,0.8144,"Senior Data Scientist with 4.2 yrs exp at Nykaa; top skills: Machine Learning, Hugging Face Transformers, OpenSearch; marked open to work; strong recruiter response rate (54%); notice period 90d (concern: above buyout threshold)."
CAND_0009691,78,0.8143,"Applied ML Engineer with 6.2 yrs exp at LinkedIn; top skills: Fine-tuning LLMs, LangChain, Qdrant; marked open to work; strong recruiter response rate (64%); notice period 120d (concern: above buyout threshold)."
CAND_0015528,79,0.8138,"Applied ML Engineer with 7.4 yrs exp at Krutrim; top skills: Information Retrieval, LangChain, Weaviate; strong recruiter response rate (53%); notice period 30d (within buyout window)."
CAND_0076251,80,0.8128,"Search Engineer with 7.6 yrs exp at Haptik; top skills: Hugging Face Transformers, Learning to Rank, PEFT; marked open to work; strong recruiter response rate (51%)."
CAND_0087630,81,0.8117,"AI Engineer with 7.2 yrs exp at Vedantu; top skills: Hugging Face Transformers, OpenSearch, Sentence Transformers; notice period 30d (within buyout window)."
CAND_0027801,82,0.8113,"NLP Engineer with 7.4 yrs exp at InMobi; top skills: Milvus, QLoRA, Learning to Rank; marked open to work; strong recruiter response rate (65%); notice period 120d (concern: above buyout threshold)."
CAND_0018549,83,0.8106,"Recommendation Systems Engineer with 6.8 yrs exp at Uber; top skills: OpenSearch, Elasticsearch, scikit-learn; marked open to work; strong recruiter response rate (73%)."
CAND_0016659,84,0.8105,"ML Engineer with 4.4 yrs exp at Glance; top skills: scikit-learn, Weaviate, Information Retrieval; marked open to work; strong recruiter response rate (89%)."
CAND_0039383,85,0.8104,"Applied ML Engineer with 7.1 yrs exp at Meesho; top skills: FAISS, Elasticsearch, Prompt Engineering; marked open to work; strong recruiter response rate (61%); notice period 90d (concern: above buyout threshold)."
CAND_0074735,86,0.8093,"Applied ML Engineer with 5.5 yrs exp at Rephrase.ai; top skills: Prompt Engineering, RAG, LlamaIndex; marked open to work; strong recruiter response rate (77%); notice period 90d (concern: above buyout threshold)."
CAND_0061655,87,0.8083,"Machine Learning Engineer with 4.6 yrs exp at Krutrim; top skills: Elasticsearch, Pinecone, Machine Learning; strong recruiter response rate (88%); notice period 15d (within buyout window)."
CAND_0012957,88,0.8078,"Search Engineer with 4.9 yrs exp at Razorpay; top skills: Embeddings, Machine Learning, Python; strong recruiter response rate (67%); notice period 120d (concern: above buyout threshold)."
CAND_0005538,89,0.8062,"Senior AI Engineer with 5.9 yrs exp at Adobe; top skills: pgvector, Workflow Orchestration, Vector Representations; marked open to work; strong recruiter response rate (81%); notice period 90d (concern: above buyout threshold)."
CAND_0047721,90,0.8062,"Senior Data Scientist with 7.0 yrs exp at Microsoft; top skills: Learning to Rank, Machine Learning, NLP; notice period 90d (concern: above buyout threshold)."
CAND_0052328,91,0.8059,"Recommendation Systems Engineer with 6.5 yrs exp at Amazon; top skills: QLoRA, Learning to Rank, Vector Search; marked open to work; strong recruiter response rate (79%); notice period 30d (within buyout window)."
CAND_0063585,92,0.8054,"AI Research Engineer with 3.1 yrs exp at Observe.AI; top skills: Learning to Rank, MLflow, Qdrant; marked open to work; notice period 120d (concern: above buyout threshold)."
CAND_0051615,93,0.8051,"Search Engineer with 4.6 yrs exp at Meta; top skills: Fine-tuning LLMs, Sentence Transformers, RAG; marked open to work; strong recruiter response rate (88%)."
CAND_0092245,94,0.8047,"Senior Data Scientist with 4.1 yrs exp at Ola; top skills: Hugging Face Transformers, LlamaIndex, Vector Search; marked open to work."
CAND_0089552,95,0.8045,"Machine Learning Engineer with 6.0 yrs exp at Netflix; top skills: Machine Learning, Qdrant, BM25; notice period 120d (concern: above buyout threshold)."
CAND_0093193,96,0.8042,"Senior Machine Learning Engineer with 7.9 yrs exp at Niramai; top skills: Vector Representations, OpenSearch, Indexing Algorithms; marked open to work; strong recruiter response rate (61%)."
CAND_0068351,97,0.8040,"Lead AI Engineer with 6.4 yrs exp at Sarvam AI; top skills: PEFT, Deep Learning, Qdrant; strong recruiter response rate (86%); notice period 0d (within buyout window)."
CAND_0004402,98,0.8039,"AI Research Engineer with 6.0 yrs exp at Yellow.ai; top skills: PEFT, BentoML, TTS; marked open to work; strong recruiter response rate (83%)."
CAND_0045250,99,0.8005,"Applied ML Engineer with 6.6 yrs exp at Rephrase.ai; top skills: Sentence Transformers, NLP, PEFT; strong recruiter response rate (74%); notice period 15d (within buyout window)."
CAND_0076831,100,0.8005,"Search Engineer with 4.0 yrs exp at Krutrim; top skills: Milvus, NLP, PyTorch; marked open to work; notice period 90d (concern: above buyout threshold)."
